er:-0.00196+0.00196i -0.00328+0.00328i 
tol:0.00319+-0.0077i 0.00218+-0.00527i 
er:-0.00197+0.00197i -0.00328+0.00328i 
tol:0.0032+-0.00771i 0.00219+-0.00528i 
er:-0.00198+0.00198i -0.00329+0.00329i 
tol:0.0032+-0.00773i 0.00219+-0.00528i 
er:-0.00199+0.00199i -0.00329+0.00329i 
tol:0.00321+-0.00774i 0.00219+-0.00529i 
er:-0.002+0.002i -0.00329+0.00329i 
tol:0.00321+-0.00775i 0.00219+-0.00529i 
er:-0.00201+0.00201i -0.0033+0.0033i 
tol:0.00321+-0.00776i 0.0022+-0.0053i 
er:-0.00202+0.00202i -0.0033+0.0033i 
tol:0.00322+-0.00777i 0.0022+-0.0053i 
er:-0.00203+0.00203i -0.0033+0.0033i 
tol:0.00322+-0.00778i 0.0022+-0.00531i 
er:-0.00204+0.00204i -0.00331+0.00331i 
tol:0.00323+-0.00779i 0.0022+-0.00532i 
er:-0.00205+0.00205i -0.00331+0.00331i 
tol:0.00323+-0.0078i 0.0022+-0.00532i 
er:-0.00206+0.00206i -0.00331+0.00331i 
tol:0.00324+-0.00781i 0.00221+-0.00533i 
